participant_id	age	sex	task
sub-1	23	M	500daysofsummer
sub-2	25	F	500daysofsummer
sub-3	23	M	500daysofsummer
sub-4	23	M	500daysofsummer
sub-5	22	F	500daysofsummer
sub-6	25	M	500daysofsummer
sub-7	23	F	500daysofsummer
sub-8	23	F	500daysofsummer
sub-9	28	F	500daysofsummer
sub-10	31	M	500daysofsummer
sub-11	20	F	500daysofsummer
sub-12	19	M	500daysofsummer
sub-13	19	F	500daysofsummer
sub-14	38	M	500daysofsummer
sub-15	22	F	500daysofsummer
sub-16	50	F	500daysofsummer
sub-17	22	M	500daysofsummer
sub-18	53	M	500daysofsummer
sub-19	22	F	500daysofsummer
sub-20	43	M	500daysofsummer
sub-21	27	M	citizenfour
sub-22	23	M	citizenfour
sub-23	24	M	citizenfour
sub-24	22	M	citizenfour
sub-25	20	F	citizenfour
sub-26	26	F	citizenfour
sub-27	21	M	citizenfour
sub-28	20	F	citizenfour
sub-29	19	F	citizenfour
sub-30	20	M	citizenfour
sub-31	30	M	citizenfour
sub-32	35	M	citizenfour
sub-33	58	M	citizenfour
sub-34	46	F	citizenfour
sub-35	19	F	citizenfour
sub-36	34	F	citizenfour
sub-37	21	F	citizenfour
sub-38	21	F	citizenfour
sub-39	21	F	theusualsuspects
sub-40	25	F	theusualsuspects
sub-41	23	F	theusualsuspects
sub-42	20	M	theusualsuspects
sub-43	25	M	theusualsuspects
sub-44	25	M	theusualsuspects
sub-45	19	F	pulpfiction
sub-46	31	F	pulpfiction
sub-47	21	F	pulpfiction
sub-48	22	M	pulpfiction
sub-49	19	M	pulpfiction
sub-50	24	M	pulpfiction
sub-51	22	M	theshawshankredemption
sub-52	30	M	theshawshankredemption
sub-53	20	F	theshawshankredemption
sub-54	19	F	theshawshankredemption
sub-55	19	F	theshawshankredemption
sub-56	23	M	theshawshankredemption
sub-57	23	F	theprestige
sub-58	50	M	theprestige
sub-59	58	M	theprestige
sub-60	33	M	theprestige
sub-61	N/A	F	theprestige
sub-62	21	F	theprestige
sub-63	22	M	backtothefuture
sub-64	18	F	backtothefuture
sub-65	21	F	backtothefuture
sub-66	24	M	backtothefuture
sub-67	23	F	backtothefuture
sub-68	25	M	backtothefuture
sub-69	24	F	split
sub-70	19	F	split
sub-71	25	M	split
sub-72	20	M	split
sub-73	24	M	split
sub-74	24	F	split
sub-75	45	F	littlemisssunshine
sub-76	20	M	littlemisssunshine
sub-77	29	M	littlemisssunshine
sub-78	45	M	littlemisssunshine
sub-79	20	F	littlemisssunshine
sub-80	55	M	littlemisssunshine
sub-81	31	M	12yearsaslave
sub-82	50	M	12yearsaslave
sub-83	18	F	12yearsaslave
sub-84	22	F	12yearsaslave
sub-85	23	F	12yearsaslave
sub-86	19	M	12yearsaslave
